f1;f2;f3;f4;f5;f6;f7;f8;f9;
17.3137;0.0645161;0.349206;0.68254;0.333333;15;32;0;1;
20.4392;0.0322581;0.365079;0.666667;0.301587;20;32;0;0;
20.349;0.0322581;0.380952;0.650794;0.269841;18;32;0;0;
18.5569;0.0322581;0.380952;0.619048;0.238095;16;31;0;-1;
16.4118;0.0322581;0.396825;0.587302;0.190476;13;31;0;0;
13.0078;0.0322581;0.444444;0.555556;0.111111;8;31;0;0;
8.26275;0;-1;-1;0;0;-1;0;0;
7.30196;0;-1;-1;0;0;-1;0;0;
7.94118;0;-1;-1;0;0;-1;0;0;
9.23922;0.0322581;0.126984;0.142857;0.015873;2;8;1;0;
10.3412;0.0645161;0.111111;0.15873;0.047619;3;8;1;0;
11.4549;0.0645161;0.15873;0.730159;0.571429;5;31;0;23;
13.9725;0.0645161;0.15873;0.730159;0.571429;7;30;0;-1;
21.6196;0.0645161;0.15873;0.730159;0.571429;17;25;0;-5;
31.6863;0.0322581;0.142857;0.730159;0.587302;38;27;0;2;
34.5451;0.0322581;0.126984;0.714286;0.587302;38;26;0;-1;
34.9922;0.0322581;0.111111;0.714286;0.603175;39;26;0;0;
34.7569;0.0322581;0.0952381;0.714286;0.619048;40;25;0;-1;
18.9686;0.0645161;0.111111;0.714286;0.603175;8;26;0;1;
9.74118;0.0322581;0.68254;0.730159;0.047619;4;44;0;18;
9.44314;0.0322581;0.68254;0.730159;0.047619;4;44;0;0;
8.93333;0.0322581;0.698413;0.730159;0.031746;3;45;0;1;
7.74118;0;-1;-1;0;0;-1;0;0;
6.74118;0;-1;-1;0;0;-1;0;0;
7.98824;0;-1;-1;0;0;-1;0;0;
9.42353;0.0322581;0.47619;0.492063;0.015873;2;30;1;0;
13.5529;0.0322581;0.428571;0.571429;0.142857;10;31;0;1;
18.2275;0.0322581;0.412698;0.634921;0.222222;15;33;0;2;
20.2;0.0322581;0.380952;0.650794;0.269841;18;32;0;-1;
22.1765;0.0322581;0.365079;0.666667;0.301587;20;32;0;0;
22.7725;0.0322581;0.365079;0.68254;0.31746;21;33;0;1;
21.0235;0.0645161;0.349206;0.698413;0.349206;19;33;1;0;
21.051;0.0967742;0.333333;0.698413;0.365079;19;32;0;-1;
20.902;0.129032;0.333333;0.714286;0.380952;17;34;1;2;
19.349;0.129032;0.31746;0.714286;0.396825;14;33;0;-1;
16.6549;0.0967742;0.31746;0.714286;0.396825;11;34;0;1;
15.8588;0.0967742;0.31746;0.714286;0.396825;11;34;0;0;
15.5412;0.0967742;0.31746;0.714286;0.396825;9;34;0;0;
16.2667;0.0967742;0.31746;0.714286;0.396825;9;34;0;0;
15.6157;0.0967742;0.31746;0.714286;0.396825;11;32;0;-2;
14.9922;0.0967742;0.31746;0.714286;0.396825;10;33;0;1;
15.4157;0.0967742;0.31746;0.698413;0.380952;10;31;0;-2;
16.6353;0.0645161;0.333333;0.698413;0.365079;12;30;0;-1;
15.8627;0.0645161;0.349206;0.68254;0.333333;10;30;0;0;
13.9529;0.0322581;0.349206;0.444444;0.0952381;7;25;0;-5;
12.1529;0.0322581;0.380952;0.428571;0.047619;4;25;0;0;
10.1725;0;-1;-1;0;0;-1;0;0;
9.13725;0;-1;-1;0;0;-1;0;0;
11.0784;0.0645161;0.333333;0.68254;0.349206;3;35;0;0;
14.7961;0.0645161;0.333333;0.714286;0.380952;8;35;0;0;
17.2431;0.0967742;0.31746;0.714286;0.396825;12;31;0;-4;
18.3804;0.0967742;0.222222;0.714286;0.492063;10;31;0;0;
25.6314;0.129032;0.206349;0.698413;0.492063;26;27;1;-4;
31.7922;0.0322581;0.174603;0.698413;0.52381;34;27;0;0;
32.7529;0.0322581;0.174603;0.698413;0.52381;34;27;0;0;
32.6902;0.0322581;0.15873;0.698413;0.539683;35;27;0;0;
33.651;0.0322581;0.142857;0.698413;0.555556;36;26;0;-1;
32.3216;0.0322581;0.111111;0.698413;0.587302;38;25;0;-1;
21.898;0.0645161;0.111111;0.698413;0.587302;14;20;0;-5;
14.7451;0.0645161;0.0952381;0.698413;0.603175;9;20;0;0;
13.8196;0.0645161;0.0952381;0.698413;0.603175;7;22;0;2;
12.9137;0.0322581;0.0793651;0.126984;0.047619;4;6;0;-16;
13.098;0.0322581;0.0634921;0.126984;0.0634921;5;6;0;0;
13.749;0.0322581;0.0634921;0.126984;0.0634921;5;6;0;0;
15.9216;0.0967742;0.0634921;0.698413;0.634921;9;20;0;14;
19.702;0.0967742;0.0634921;0.698413;0.634921;13;19;0;-1;
19.1961;0.0967742;0.0634921;0.698413;0.634921;15;21;0;2;
21.6863;0.0967742;0.0793651;0.698413;0.619048;15;20;1;-1;
32.4196;0.0322581;0.0793651;0.698413;0.619048;40;24;0;4;
37.5843;0.0322581;0.0952381;0.698413;0.603175;39;25;0;1;
37.7294;0.0322581;0.0952381;0.698413;0.603175;39;25;0;0;
37.6902;0.0322581;0.0952381;0.698413;0.603175;39;25;0;0;
33.7059;0.0322581;0.0793651;0.698413;0.619048;40;24;0;-1;
21.3412;0.0645161;0.0793651;0.698413;0.619048;18;18;1;-6;
14.5961;0.0322581;0.0634921;0.126984;0.0634921;5;6;0;-12;
13.3961;0.0322581;0.047619;0.0952381;0.047619;4;4;0;-2;
13.8667;0.0322581;0.031746;0.0793651;0.047619;4;3;0;-1;
13.2824;0.0322581;0.031746;0.0793651;0.047619;4;3;0;0;
13.4902;0.0322581;0.031746;0.0634921;0.031746;3;3;0;0;
14.6039;0.0645161;0.031746;0.539683;0.507937;6;18;0;15;
19.4;0.0967742;0.031746;0.650794;0.619048;15;27;1;9;
22.702;0.0645161;0.031746;0.666667;0.634921;21;29;0;2;
23.502;0.0645161;0.015873;0.666667;0.650794;21;28;0;-1;
24.3373;0.0645161;0.031746;0.68254;0.650794;22;30;0;2;
25.0941;0.0645161;0.031746;0.68254;0.650794;23;30;0;0;
25.8706;0.0967742;0.031746;0.698413;0.666667;27;28;0;-2;
23.749;0.0967742;0.0793651;0.698413;0.619048;20;28;1;0;
23.0392;0.129032;0.047619;0.698413;0.650794;20;27;0;-1;
21.1961;0.129032;0.047619;0.714286;0.666667;19;28;0;1;
20.3647;0.0645161;0.301587;0.714286;0.412698;17;30;1;2;
19.6039;0.0645161;0.301587;0.714286;0.412698;17;30;1;0;
19.5333;0.0645161;0.301587;0.714286;0.412698;16;29;1;-1;
19.9647;0.0645161;0.301587;0.698413;0.396825;14;28;1;-1;
19.9098;0.0645161;0.301587;0.698413;0.396825;15;29;1;1;
19.2745;0.0645161;0.31746;0.698413;0.380952;15;30;1;1;
19.902;0.0645161;0.31746;0.698413;0.380952;15;30;1;0;
20.1647;0.0645161;0.31746;0.698413;0.380952;15;30;1;0;
20.7882;0.0645161;0.31746;0.68254;0.365079;15;30;1;0;
19.0627;0.0645161;0.31746;0.68254;0.365079;16;30;1;0;
15.9608;0.0645161;0.333333;0.634921;0.301587;11;27;0;-3;
13.3412;0.0322581;0.349206;0.460317;0.111111;8;25;0;-2;
12.8078;0.0322581;0.365079;0.444444;0.0793651;6;25;0;0;
12.9059;0.0645161;0.380952;0.84127;0.460317;6;30;0;5;
11.8196;0.0645161;0.603175;0.84127;0.238095;5;44;0;14;
13.6431;0.0645161;0.587302;0.84127;0.253968;8;43;0;-1;
16.5059;0.0645161;0.571429;0.84127;0.269841;10;43;0;0;
18.1608;0.0645161;0.571429;0.857143;0.285714;12;44;0;1;
18.949;0.0645161;0.555556;0.857143;0.301587;14;44;0;0;
20.5882;0.0645161;0.555556;0.857143;0.301587;14;44;0;0;
20.8;0.0645161;0.555556;0.873016;0.31746;17;45;0;1;
21.5176;0.0645161;0.555556;0.873016;0.31746;19;45;1;0;
21.8078;0.0645161;0.571429;0.857143;0.285714;18;45;1;0;
22.302;0.0322581;0.571429;0.84127;0.269841;18;44;0;-1;
20.451;0.0322581;0.587302;0.825397;0.238095;16;44;0;0;
19.8902;0.0322581;0.603175;0.825397;0.222222;15;45;0;1;
17.8353;0.0322581;0.619048;0.793651;0.174603;12;44;0;-1;
15.9059;0.0322581;0.634921;0.793651;0.15873;11;45;0;1;
11.4157;0.0322581;0.666667;0.714286;0.047619;4;43;0;-2;
